"code UAI";"n° SIRET";"type d'établissement";nom;sigle;statut;tutelle;université;"boîte postale";adresse;CP;commune;"commune (COG)";cedex;téléphone;arrondissement;département;académie;région;"région (COG)";"longitude (X)";"latitude (Y)";"début portes ouvertes";"fin portes ouvertes";"commentaires portes ouvertes";"lien site onisep.fr"
9720818G;;"Autre établissement du supérieur";"Service Universitaire à la Formation Continue";SUFC;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université des Antilles";"BP 7209";"Campus de Schoelcher";97271;Schoelcher;97229;Cedex;"05 96 72 73 33";;Martinique;Martinique;Martinique;2;-61.1024569;14.6245877;;;;www.onisep.fr/http/redirection/etablissement/identifiant/9186
0312211K;38310805700035;"Autre établissement du supérieur";"Institut supérieur technique d'enseignement et de formation";ISTEF;"Privé hors contrat";;;;"24 rue de l'Industrie";31685;Toulouse;31555;;"05 34 41 53 90";;Haute-Garonne;Toulouse;Occitanie;76;1.451247;43.6057357;;;;www.onisep.fr/http/redirection/etablissement/identifiant/9501
0561487M;;"Autre établissement du supérieur";"Institut supérieur de formation de l'enseignement catholique";ISFEC;"Privé sous contrat";"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";;;"Le Vincin";56610;Arradon;56003;;"02 97 46 33 80";;Morbihan;Rennes;Bretagne;53;-2.8043566;47.6487542;17/02/2018;17/02/2018;"de 9h à 13h, le 07/04/2018 de 9h à 13h";www.onisep.fr/http/redirection/etablissement/identifiant/9879
0312353P;;"Autre établissement du supérieur";"École de journalisme de Toulouse EJT";EJT;"Privé hors contrat";;"Institut catholique de Toulouse";;"31 rue de la Fonderie";31068;Toulouse;31555;;"05 62 26 54 19";;Haute-Garonne;Toulouse;Occitanie;76;1.4431101;43.5954233;;;;www.onisep.fr/http/redirection/etablissement/identifiant/10163
0312765M;;"Autre établissement du supérieur";"ISTELI - Institut supérieur du transport et de la logistique internationale - groupe AFTRAL ISTELI";ISTELI;"Privé hors contrat";;;"BP 92048";"72 rue Edmond Rostand";31018;Toulouse;31555;"Cedex 02";"05 61 99 53 31";;Haute-Garonne;Toulouse;Occitanie;76;1.4584323;43.6439825;;;;www.onisep.fr/http/redirection/etablissement/identifiant/10230
0310153Y;;"Autre établissement du supérieur";"Ecole nationale vétérinaire de Toulouse";"INP ENVT";Public;"Ministère de l'Agriculture et de l'Alimentation";;"BP 87614";"23 chemin des Capelles";31076;Toulouse;31555;"Cedex 03";"05 61 19 38 02";;Haute-Garonne;Toulouse;Occitanie;76;1.3841861;43.5998219;;;;www.onisep.fr/http/redirection/etablissement/identifiant/10417
0730805D;38939545000015;"Autre établissement du supérieur";"Ecole technique privée ECORIS Chambéry";ECORIS;"Privé hors contrat";;;;"574 rue de Chantabord";73000;Chambéry;73065;;"04 79 69 28 17";;Savoie;Grenoble;Auvergne-Rhône-Alpes;84;5.8936539;45.5921826;;;;www.onisep.fr/http/redirection/etablissement/identifiant/10934
0350092K;;"Autre établissement du supérieur";"Ecole nationale supérieure maritime de Saint-Malo";ENSM;Public;"Ministère de la transition écologique et solidaire";;"BP 109";"4 rue de la Victoire";35412;Saint-Malo;35288;Cedex;"09 70 00 04 10";;Ille-et-Vilaine;Rennes;Bretagne;53;-2.0260557;48.6505817;20/01/2018;20/01/2018;"de 9h à 12h et de 13h30 à 16h30";www.onisep.fr/http/redirection/etablissement/identifiant/11138
0511697T;;"Autre établissement du supérieur";"Ecole internationale Tunon";;"Privé hors contrat";;;;"35 rue de Talleyrand";51100;Reims;51454;;"03 26 88 17 44";;Marne;Reims;Grand-Est;44;4.0289734;49.2556576;20/01/2018;20/01/2018;"de 10h à 17h";www.onisep.fr/http/redirection/etablissement/identifiant/11173
0061610T;32922456200267;"Autre établissement du supérieur";"Pigier Performance Nice";;"Privé hors contrat";;;;"150 boulevard des Jardiniers";6200;Nice;06088;;"04 93 29 83 33";;Alpes-Maritimes;Nice;"Provence-Alpes-Côte d'Azur";93;7.1923492;43.7102315;27/06/2018;27/06/2018;;www.onisep.fr/http/redirection/etablissement/identifiant/11320
0341820U;;"Autre établissement du supérieur";"Institut supérieur de communication et de publicité - la compagnie de formation";ISCOM;"Privé hors contrat";;;;"1702 rue de Saint Priest";34097;Montpellier;34172;;"04 67 10 57 74";;Hérault;Montpellier;Occitanie;76;3.8388411;43.6356622;;;;www.onisep.fr/http/redirection/etablissement/identifiant/11797
0341588S;;"Autre établissement du supérieur";"Ecole privée des sciences informatiques";EPSI;"Privé hors contrat";;;;"437 rue des Apothicaires";34090;Montpellier;34172;"Cedex 05";"04 67 04 20 01";;Hérault;Montpellier;Occitanie;76;3.8383058;43.6429784;;;;www.onisep.fr/http/redirection/etablissement/identifiant/11960
0753087Y;32368824200029;"Autre établissement du supérieur";"Institut européen de formation au tourisme";IEFT;"Privé hors contrat";;;;"20 bis jardins Boieldieu";92800;Puteaux;92062;;"01 43 70 39 32";17;Hauts-de-Seine;Versailles;Ile-de-France;11;2.3056459;48.8868387;19/05/2018;19/05/2018;"de 10h à 14h  ; autres portes ouvertes le 07/06/2018";www.onisep.fr/http/redirection/etablissement/identifiant/12295
0941869W;35068085600019;"Autre établissement du supérieur";"Ecole INFA";;"Privé hors contrat";;;;"5 - 9 rue Anquetil";94736;Nogent-sur-Marne;94052;Cedex;"01 45 14 64 00";;Val-de-Marne;Créteil;Ile-de-France;11;2.4886855;48.8422376;;;;www.onisep.fr/http/redirection/etablissement/identifiant/12577
0331646K;33851631300065;"Autre établissement du supérieur";"Talis business school - Bordeaux";"Talis BS";"Privé hors contrat";;;;"11-13 rue de Gironde";33000;Bordeaux;33063;;"05 57 22 42 42";;Gironde;Bordeaux;Nouvelle-Aquitaine;75;-0.55225241779101;44.86489040968;14/02/2018;14/02/2018;"à 14h, le 10/03/2018 à 10h, le 14/03/2018 à 14h, le 21/04 et le 07/07/2018 de 10h à 14h";www.onisep.fr/http/redirection/etablissement/identifiant/12842
0754129F;1875003800091;"Autre établissement du supérieur";"Ferrandi Paris, l'école française de gastronomie et de management hôtelier";Ferrandi;Consulaire;"Chambre de commerce et d'industrie";;;"28 rue de l'Abbé Grégoire";75006;Paris;75106;;"01 49 54 28 00";06;Paris;Paris;Ile-de-France;11;2.32554;48.847453;;;;www.onisep.fr/http/redirection/etablissement/identifiant/13215
