"code UAI";"n° SIRET";"type d'établissement";nom;sigle;statut;tutelle;université;"boîte postale";adresse;CP;commune;"commune (COG)";cedex;téléphone;arrondissement;département;académie;région;"région (COG)";"longitude (X)";"latitude (Y)";"début portes ouvertes";"fin portes ouvertes";"commentaires portes ouvertes";"lien site onisep.fr"
0180860M;;"Unité de formation et de recherche";"Antenne scientifique universitaire de Bourges";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université d'Orléans";"BP 4043";"Rue Gaston Berger";18028;Bourges;18033;Cedex;"02 48 27 27 30";;Cher;Orléans-Tours;"Centre-Val de Loire";24;2.4263965;47.1038121;;;;www.onisep.fr/http/redirection/etablissement/identifiant/8495
0860986E;;"Unité de formation et de recherche";"Faculté de médecine et de pharmacie";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université de Poitiers";"TSA 51115";"6 rue de La Milétrie";86073;Poitiers;86194;"Cedex 9";"05 49 45 43 43";;Vienne;Poitiers;Nouvelle-Aquitaine;75;0.3800386;46.5622225;03/03/2018;03/03/2018;"de 9h30 à 16h30";www.onisep.fr/http/redirection/etablissement/identifiant/8580
0422193F;;"Unité de formation et de recherche";"Faculté d'arts, lettres et langues";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université Jean Monnet Saint-Etienne";;"33 rue du 11 Novembre";42023;Saint-Etienne;42218;"Cedex 02";"04 77 42 13 05";;Loire;Lyon;Auvergne-Rhône-Alpes;84;4.391041;45.426239;;;;www.onisep.fr/http/redirection/etablissement/identifiant/8683
0751986B;;"Unité de formation et de recherche";"Département : études ibériques et latino-américaines";EILA;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université de la Sorbonne Nouvelle";;"13 rue de Santeuil";75005;Paris;75105;;"01 45 87 42 49";05;Paris;Paris;Ile-de-France;11;2.354249;48.840195;;;;www.onisep.fr/http/redirection/etablissement/identifiant/8745
0641845H;;"Unité de formation et de recherche";"IAE Pau-Bayonne, École universitaire de management - Campus de Pau";IAE;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université Pau et Pays de l'Adour";"BP 575";"Avenue du Doyen Poplawski";64012;Pau;64445;Cedex;"05 59 40 81 00";;Pyrénées-Atlantiques;Bordeaux;Nouvelle-Aquitaine;75;-0.3684184;43.3162097;;;;www.onisep.fr/http/redirection/etablissement/identifiant/8838
7200103Z;;"Unité de formation et de recherche";"UFR de Droit, Sciences sociales, Economiques et de Gestion";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université de Corse";"BP 52";"Campus Mariani";20250;Corte;2B096;;"04 95 45 00 16";;Haute-Corse;Corse;Corse;94;9.1530729;42.306153;24/01/2018;24/01/2018;;www.onisep.fr/http/redirection/etablissement/identifiant/9112
0211316S;;"Unité de formation et de recherche";"UFR Sciences humaines";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université de Bourgogne";;"2 boulevard Gabriel";21000;Dijon;21231;Cedex;"03 80 39 57 00";;Côte-d'Or;Dijon;Bourgogne-Franche-Comté;27;5.0633467;47.3135991;31/01/2018;31/01/2018;;www.onisep.fr/http/redirection/etablissement/identifiant/9225
0210082A;;"Unité de formation et de recherche";"UFR Sciences du sport - STAPS";"UFR STAPS";Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université de Bourgogne";"BP 27877";"Campus universitaire Montmuzard";21078;Dijon;21231;cedex;"03 80 39 67 01";;Côte-d'Or;Dijon;Bourgogne-Franche-Comté;27;5.0693454;47.313915;31/01/2018;31/01/2018;;www.onisep.fr/http/redirection/etablissement/identifiant/9313
0332579Z;;"Unité de formation et de recherche";"Département des langues et cultures";DLC;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université de Bordeaux";;"3 ter place de la Victoire";33076;Bordeaux;33063;Cedex;"05 57 57 18 03";;Gironde;Bordeaux;Nouvelle-Aquitaine;75;-0.5723897;44.8314042;;;;www.onisep.fr/http/redirection/etablissement/identifiant/9447
0311514C;;"Unité de formation et de recherche";"Ecole d'économie de Toulouse (TSE)";;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université Toulouse I Capitole";;"21 allées de Brienne";31042;Toulouse;31555;"Cedex 09";"05 61 63 36 90";;Haute-Garonne;Toulouse;Occitanie;76;1.431152;43.605365;10/02/2018;10/02/2018;"de 9h30 à 17h";www.onisep.fr/http/redirection/etablissement/identifiant/9508
0750728J;;"Unité de formation et de recherche";"Faculté libre d'économie de droit et de gestion";FACO;"Privé reconnu";;"Faculté libre d'économie, de droit et de gestion";;"115 rue Notre-Dame des Champs";75006;Paris;75106;;"01 53 10 24 79 ou 24 70";06;Paris;Paris;Ile-de-France;11;2.334399;48.840739;;;;www.onisep.fr/http/redirection/etablissement/identifiant/9584
